,mse,log_mae,psnr
0,200.78397,0.16294405,3.7170222388704754
1,559.91614,0.4524771,3.271628282674424
2,197.843,0.16922057,3.7234305734886544
3,188.0991,0.13799557,3.7453645363708334
4,130.7424,0.10690125,3.9033348107739685
5,203.72649,0.17505936,3.710703772712958
6,125.12079,0.11382029,3.9224217945573923
7,254.75644,0.20095505,3.613626097404984
